CNN_classlist,mvco_northeastshelf_train_cfg_1.8,mvco_northeastshelf_train_cfg_1.7,mvco_northeastshelf_train_cfg_1.6,mvco_northeastshelf_train_cfg_1.5,mvco_northeastshelf_train_cfg_1.4,mvco_northeastshelf_train_cfg_1.3,toy_set,mvco_northeastshelf_train_cfg_1.2,mvco_northeastshelf_train_cfg_1.1,mvco_northeastshelf_train_cfg,all_train_cfg,HAB_train_cfg,minimal_list_cfg
Acanthoica_quattrospina,1,1,1,1,1,1,0,1,1,1,1,mix,mix
Akashiwo,Dinophyceae,1,1,1,1,1,0,1,1,0,1,0,0
Alexandrium_catenella,Dinophyceae,1,1,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,Dinophyceae
Alexandrium_catenella_TAG_chain,0,0,0,0,0,0,0,0,0,0,1,1,0
Alexandrium_catenella_TAG_dividing,0,0,0,0,0,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,0
Alexandrium_catenella_TAG_doublet,0,0,0,0,0,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,0
Alexandrium_catenella_TAG_fusing,0,0,0,0,0,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,0
Alexandrium_catenella_TAG_infected,0,0,0,0,0,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,0
amoeba,1,1,1,1,1,1,0,1,1,1,1,1,1
Amphidinium,1,1,1,1,1,1,0,1,1,1,1,1,1
Amylax,0,1,1,1,1,1,0,1,1,0,1,1,0
Apedinella,1,1,1,1,1,1,0,1,1,1,1,mix,mix
Asterionellopsis_glacialis,1,1,1,1,1,1,0,1,1,1,1,1,1
Asterodinium,1,1,1,1,1,1,0,1,1,1,1,1,0
Bacillaria,1,1,1,1,1,1,0,1,1,1,1,1,0
Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,0,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae
Bacteriastrum,1,1,1,1,1,1,0,1,1,0,1,0,0
bad,0,0,0,0,0,0,0,0,0,1,1,1,0
Balanion,1,1,1,1,1,1,1,1,1,1,1,1,ciliate
bead,1,1,1,1,1,1,0,1,1,1,1,1,1
Biddulphia,1,1,1,1,1,1,0,1,1,1,1,1,0
bubble,1,1,1,1,1,1,0,1,1,1,1,1,0
Calciopappus,1,1,1,1,1,1,0,1,1,1,1,mix,flagellate
Calciosolenia_brasiliensis,1,1,1,1,1,1,0,1,1,1,1,1,0
camera_spot,1,1,1,1,1,1,0,1,1,1,1,1,0
Cerataulina_pelagica,1,1,1,1,1,1,0,1,1,1,1,1,Cerataulina_pelagica
Ceratium,1,1,1,1,1,1,0,1,1,1,1,1,1
Ceratium_furca,1,1,1,1,1,1,1,1,1,1,1,1,Ceratium
Ceratium_fusus,1,1,1,1,1,1,0,1,1,1,1,1,Ceratium
Ceratium_lineatum,1,1,1,1,1,1,0,1,1,1,1,1,Ceratium
Chaetoceros,Chaetoceros,Chaetoceros,Chaetoceros,1,1,1,0,1,1,1,1,1,1
Chaetoceros_curvusetus,Chaetoceros,Chaetoceros,Chaetoceros,1,1,1,0,1,1,1,1,Chaetoceros,Chaetoceros
Chaetoceros_concavicornis,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetoceros_danicus,Chaetoceros,1,1,1,1,1,0,1,1,1,1,Chaetoceros,Chaetoceros
Chaetoceros_debilis,0,0,0,1,1,1,0,1,1,0,1,0,0
Chaetoceros_didymus,Chaetoceros,1,1,1,1,1,0,1,1,1,1,Chaetoceros,Chaetoceros
Chaetoceros_didymus_TAG_external_flagellate,Chaetoceros,1,1,1,1,1,0,1,1,1,1,Chaetoceros,Chaetoceros
Chaetoceros_peruvianis,Chaetoceros,1,1,1,1,1,0,1,1,0,1,0,0
Chaetoceros_similis,Chaetoceros,Chaetoceros,1,1,1,1,0,1,1,1,1,Chaetoceros,Chaetoceros
Chaetoceros_socialis,Chaetoceros,Chaetoceros,1,1,1,1,0,1,1,0,1,0,0
Chaetoceros_subtilis,Chaetoceros,1,1,1,1,1,0,1,1,1,1,Chaetoceros,Chaetoceros
Chaetoceros_TAG_external_pennate,0,0,0,1,1,1,0,1,1,1,1,Chaetoceros,Chaetoceros
Chaetoceros_tenuissimus,Chaetoceros,Chaetoceros,1,0,0,0,0,0,0,0,0,0,0
Chaetoceros_throndsenii,Chaetoceros,1,1,1,1,1,0,1,1,1,1,Chaetoceros,Chaetoceros
Choanoflagellate,0,0,0,0,0,0,0,0,0,0,0,0,0
Chroomonas,1,1,1,1,1,1,0,1,1,1,1,mix,mix
Chrysochromulina,1,1,1,1,1,1,0,1,1,1,1,1,flagellate
Chrysochromulina_lanceolata,1,1,1,1,1,1,0,1,1,1,1,1,flagellate
ciliate,1,1,1,1,1,1,0,1,1,1,1,1,1
coccolithophorid,1,1,1,1,1,1,0,1,1,1,1,1,0
Corethron_hystrix,1,1,1,1,1,1,1,1,1,1,1,1,1
Corymbellus,1,1,1,1,1,1,0,1,1,1,1,1,1
Coscinodiscus,Thalassiosira,1,1,1,1,1,0,1,1,1,1,1,Thalassiosira
cryptophyta,1,1,1,1,1,1,1,1,1,1,1,mix,mix
Cylindrotheca,Cylindrotheca,Cylindrotheca,1,1,1,1,1,1,1,1,1,1,1
Cylindrotheca_min,Cylindrotheca,Cylindrotheca,1,0,0,0,0,0,0,0,0,0,0
Dactyliosolen_blavyanus,1,1,1,1,1,1,0,1,1,1,1,1,1
Dactyliosolen_fragilissimus,1,1,1,1,1,1,0,1,1,1,1,1,1
Delphineis,1,1,1,1,1,1,0,1,1,1,1,1,1
detritus,1,1,1,1,1,1,0,1,1,1,1,1,1
detritus_clear,1,1,1,1,1,1,0,1,1,1,1,1,1
Dictyocha,1,1,1,1,1,1,0,1,1,1,1,1,1
Dictyocysta,1,1,1,1,1,1,0,1,1,1,1,1,0
Didinium,1,1,1,1,1,1,0,1,1,1,1,1,1
Dinobryon,1,1,1,1,1,1,0,1,1,1,1,1,1
Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,1,1,1,0,1,1,1,1,1,1
Dinophysis,0,0,0,1,1,1,0,1,1,1,1,1,1
Dinophysis_acuminata,1,1,1,1,1,1,0,1,1,1,1,1,Dinophysis
Dinophysis_acuminata_TAG_bleb,0,0,0,0,0,0,0,0,0,0,1,1,0
Dinophysis_acuminata_TAG_dividing,0,0,0,0,0,0,0,0,0,0,1,1,0
Dinophysis_acuminata_TAG_mating,0,0,0,0,0,0,0,0,0,0,1,1,0
Dinophysis_norvegica,1,1,1,1,1,1,0,1,1,1,1,1,Dinophysis
Dinophysis_tripos,1,1,1,1,1,1,0,1,1,1,1,1,Dinophysis
Ditylum_brightwellii,1,1,1,1,1,1,1,1,1,1,1,1,1
Emiliania_huxleyi,1,1,1,1,1,1,0,1,1,1,1,1,1
Ephemera,1,1,1,1,1,1,0,1,1,1,1,1,1
Eucampia,Eucampia,Eucampia,1,1,1,1,0,1,1,1,1,1,1
Eucampia_morphytype1,Eucampia,Eucampia,1,0,0,0,0,0,0,0,0,0,0
Euglena,1,1,1,1,1,1,0,1,1,1,1,1,1
Euplotes,1,1,1,1,1,1,0,1,1,1,1,1,1
Euplotes_morphotype1,1,1,1,1,1,1,0,1,1,1,1,1,1
Eutintinnus,1,1,1,1,1,1,0,1,1,1,1,1,1
Favella,1,1,1,1,1,1,0,1,1,1,1,1,1
fecal_pellet,1,1,1,1,1,1,0,1,1,1,1,1,1
flagellate,1,1,1,1,1,1,0,1,1,1,1,mix,1
flagellate_morphotype1,1,1,1,1,1,1,0,1,1,1,1,1,flagellate
flagellate_morphotype3,1,1,1,1,1,1,0,1,1,1,1,1,Dinobryon
foraminifera,0,0,0,1,1,1,0,1,1,1,1,1,0
Gonyaulax,1,1,1,1,1,1,0,1,1,1,1,1,1
Guinardia_delicatula,1,1,1,1,1,1,1,1,1,1,1,Guinardia_delicatula,1
Guinardia_delicatula_TAG_Amphidinium_grazing,0,0,1,0,0,0,0,0,0,0,0,0,0
Guinardia_delicatula_TAG_external_parasite,1,1,1,1,1,1,0,1,1,1,1,Guinardia_delicatula,Guinardia_delicatula
Guinardia_delicatula_TAG_internal_parasite,1,1,1,1,1,1,0,1,1,1,1,Guinardia_delicatula,Guinardia_delicatula
Guinardia_flaccida,1,1,1,1,1,1,0,1,1,1,1,1,1
Guinardia_striata,1,1,1,1,1,1,0,1,1,1,1,1,1
Gyrodinium,1,1,1,1,1,1,0,1,1,1,1,1,1
Helicostomella_subulata,0,0,0,0,0,0,0,0,0,0,1,0,0
Hemiaulus,1,1,1,1,1,1,0,1,1,1,1,1,1
Hemiaulus_membranaceus,1,1,1,0,0,0,0,0,0,0,0,0,0
Heterocapsa_rotundata,1,1,1,1,1,1,0,1,1,1,1,1,mix
Heterocapsa_triquetra,Dinophyceae,Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,1,Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,Dinophyceae
Heterocapsa_triquetra_singlet_plan,0,0,0,0,0,0,0,0,0,Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,0
